Ticker,Name,Market,Timeframe,Strategy,Trades,WinRate%,TotalRet%,AvgRet%,ProfitFactor,MDD%,Sharpe,_tr
SOXX,반도체ETF,US,5m,S12_BB_Rev,48,56.2,-1.098,-0.0229,0.946,-10.684,-0.0211,-1.098
SOXX,반도체ETF,US,5m,S13_ATR_Break,91,54.9,1.396,0.0153,1.139,-3.079,0.0373,1.396
SOXX,반도체ETF,US,5m,S14_Donchian,51,45.1,2.575,0.0505,1.13,-11.8,0.0374,2.575
SOXX,반도체ETF,US,5m,S15_ZScore,99,62.6,-6.101,-0.0616,0.822,-18.083,-0.0685,-6.101
SOXX,반도체ETF,US,5m,S16_SMA_Rev,5,80.0,6.938,1.3876,23.977,0.0,1.1376,6.938
SOXX,반도체ETF,US,5m,S17_FVG,179,43.0,12.609,0.0704,1.244,-10.351,0.0644,12.609
SOXX,반도체ETF,US,5m,S19_Monday,27,33.3,1.889,0.07,1.19,-4.901,0.0478,1.889
SOXX,반도체ETF,US,5m,S20_InsideBar,128,51.6,7.366,0.0575,1.456,-3.087,0.1216,7.366
SOXX,반도체ETF,US,5m,S21_Engulfing,176,55.1,13.491,0.0767,1.45,-6.472,0.1023,13.491
SOXX,반도체ETF,US,5m,S22_VolBreak,87,52.9,11.668,0.1341,2.167,-2.341,0.1674,11.668
SOXX,반도체ETF,US,5m,S23_EMA_Ribbon,63,47.6,9.847,0.1563,1.722,-4.255,0.1424,9.847
SOXX,반도체ETF,US,5m,S24_CHoCH,163,57.7,16.132,0.099,1.451,-8.681,0.1083,16.132
SOXX,반도체ETF,US,5m,S25_PinBar,207,56.5,13.093,0.0633,1.392,-10.368,0.0887,13.093
SOXX,반도체ETF,US,4h,FVG+OB,414,55.1,89.253,0.2156,1.448,-12.119,0.1584,89.253
SOXX,반도체ETF,US,4h,FVG+OB★,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOXX,반도체ETF,US,4h,S01_EMA9_21,41,53.7,6.368,0.1553,1.12,-25.841,0.0436,6.368
SOXX,반도체ETF,US,4h,S02_EMA20_50,17,58.8,21.776,1.281,1.993,-15.866,0.2873,21.776
SOXX,반도체ETF,US,4h,S03_GoldenCross,5,40.0,-0.684,-0.1369,0.954,-14.241,-0.0212,-0.684
SOXX,반도체ETF,US,4h,S04_SuperTrend,8,75.0,9.697,1.2121,2.557,-5.771,0.3375,9.697
SOXX,반도체ETF,US,4h,S05_HullMA,57,47.4,13.339,0.234,1.154,-28.031,0.0538,13.339
SOXX,반도체ETF,US,4h,S06_Ichimoku,51,29.4,10.936,0.2144,1.216,-27.426,0.07,10.936
SOXX,반도체ETF,US,4h,S07_RSI_Trend,94,35.1,22.76,0.2421,1.25,-17.544,0.0831,22.76
SOXX,반도체ETF,US,4h,S08_RSI_Rev,12,25.0,-8.778,-0.7315,0.647,-16.268,-0.19,-8.778
SOXX,반도체ETF,US,4h,S09_MACD,58,46.6,21.965,0.3787,1.297,-22.272,0.1037,21.965
SOXX,반도체ETF,US,4h,S10_MACDHist,58,46.6,21.965,0.3787,1.297,-22.272,0.1037,21.965
SOXX,반도체ETF,US,4h,S11_BB_Break,55,58.2,19.677,0.3578,2.189,-4.302,0.2758,19.677
SOXX,반도체ETF,US,4h,S12_BB_Rev,19,57.9,11.004,0.5791,1.376,-10.712,0.1466,11.004
SOXX,반도체ETF,US,4h,S13_ATR_Break,67,53.7,7.837,0.117,1.353,-4.388,0.1197,7.837
SOXX,반도체ETF,US,4h,S14_Donchian,18,50.0,14.852,0.8251,1.654,-15.747,0.2083,14.852
SOXX,반도체ETF,US,4h,S15_ZScore,36,63.9,0.695,0.0193,1.011,-15.189,0.0046,0.695
SOXX,반도체ETF,US,4h,S16_SMA_Rev,20,50.0,-6.914,-0.3457,0.853,-21.856,-0.0711,-6.914
SOXX,반도체ETF,US,4h,S17_FVG,76,55.3,74.248,0.977,1.891,-14.834,0.2534,74.248
SOXX,반도체ETF,US,4h,S19_Monday,123,44.7,56.49,0.4593,1.448,-20.3,0.1458,56.49
SOXX,반도체ETF,US,4h,S20_InsideBar,105,51.4,-17.425,-0.166,0.882,-53.559,-0.0456,-17.425
SOXX,반도체ETF,US,4h,S21_Engulfing,62,56.5,19.842,0.32,1.349,-16.988,0.115,19.842
SOXX,반도체ETF,US,4h,S22_VolBreak,39,56.4,9.947,0.255,1.955,-2.629,0.2394,9.947
SOXX,반도체ETF,US,4h,S23_EMA_Ribbon,28,60.7,18.703,0.668,1.526,-14.639,0.1727,18.703
SOXX,반도체ETF,US,4h,S24_CHoCH,70,52.9,36.04,0.5149,1.364,-37.895,0.1302,36.04
SOXX,반도체ETF,US,4h,S25_PinBar,81,56.8,17.746,0.2191,1.236,-29.098,0.0823,17.746
SOXX,반도체ETF,US,1m+4h,FVG+OB,47,51.1,2.216,0.0471,1.515,-0.703,0.1807,2.216
SOXX,반도체ETF,US,1m+4h,S01_EMA9_21,61,37.7,3.829,0.0628,1.608,-1.372,0.1033,3.829
SOXX,반도체ETF,US,1m+4h,S02_EMA20_50,27,33.3,2.409,0.0892,1.721,-1.196,0.1237,2.409
SOXX,반도체ETF,US,1m+4h,S03_GoldenCross,6,33.3,-1.213,-0.2022,0.319,-1.223,-0.4394,-1.213
SOXX,반도체ETF,US,1m+4h,S04_SuperTrend,8,50.0,-0.7,-0.0875,0.678,-1.018,-0.1572,-0.7
SOXX,반도체ETF,US,1m+4h,S05_HullMA,83,45.8,9.834,0.1185,2.659,-1.326,0.2021,9.834
SOXX,반도체ETF,US,1m+4h,S06_Ichimoku,67,37.3,4.86,0.0725,2.174,-1.237,0.1349,4.86
SOXX,반도체ETF,US,1m+4h,S07_RSI_Trend,140,30.0,8.215,0.0587,1.993,-1.481,0.1234,8.215
SOXX,반도체ETF,US,1m+4h,S08_RSI_Rev,15,66.7,1.603,0.1068,1.687,-1.413,0.1792,1.603
SOXX,반도체ETF,US,1m+4h,S09_MACD,98,40.8,8.224,0.0839,2.101,-1.596,0.1502,8.224
SOXX,반도체ETF,US,1m+4h,S10_MACDHist,98,40.8,8.224,0.0839,2.101,-1.596,0.1502,8.224
SOXX,반도체ETF,US,1m+4h,S11_BB_Break,63,38.1,-0.391,-0.0062,0.845,-0.938,-0.0547,-0.391
SOXX,반도체ETF,US,1m+4h,S12_BB_Rev,28,78.6,5.363,0.1916,3.284,-1.293,0.4236,5.363
SOXX,반도체ETF,US,1m+4h,S13_ATR_Break,64,48.4,-0.085,-0.0013,0.948,-0.637,-0.0173,-0.085
SOXX,반도체ETF,US,1m+4h,S14_Donchian,32,50.0,2.541,0.0794,1.512,-1.371,0.1002,2.541
SOXX,반도체ETF,US,1m+4h,S15_ZScore,59,69.5,1.173,0.0199,1.253,-1.684,0.0768,1.173
SOXX,반도체ETF,US,1m+4h,S17_FVG,110,40.0,9.532,0.0867,1.999,-1.22,0.158,9.532
SOXX,반도체ETF,US,1m+4h,S19_Monday,2,100.0,0.685,0.3423,99.0,0.0,11.1653,0.685
SOXX,반도체ETF,US,1m+4h,S20_InsideBar,86,43.0,-1.095,-0.0127,0.819,-1.929,-0.0494,-1.095
SOXX,반도체ETF,US,1m+4h,S21_Engulfing,71,52.1,3.015,0.0425,1.752,-1.466,0.132,3.015
SOXX,반도체ETF,US,1m+4h,S22_VolBreak,46,50.0,4.575,0.0994,5.103,-0.509,0.1572,4.575
SOXX,반도체ETF,US,1m+4h,S23_EMA_Ribbon,45,40.0,-1.78,-0.0396,0.704,-2.118,-0.1113,-1.78
SOXX,반도체ETF,US,1m+4h,S24_CHoCH,96,46.9,1.25,0.013,1.128,-1.788,0.025,1.25
SOXX,반도체ETF,US,1m+4h,S25_PinBar,104,68.3,5.211,0.0501,1.993,-1.147,0.2041,5.211
BTC,비트코인,CRYPTO,15m,FVG+OB,513,43.1,30.717,0.0599,1.415,-5.164,0.1383,30.717
BTC,비트코인,CRYPTO,15m,FVG+OB★,104,45.2,8.808,0.0847,1.606,-1.575,0.1874,8.808
BTC,비트코인,CRYPTO,15m,S01_EMA9_21,125,44.8,3.579,0.0286,1.135,-5.049,0.0435,3.579
BTC,비트코인,CRYPTO,15m,S02_EMA20_50,59,42.4,3.072,0.0521,1.228,-4.199,0.0734,3.072
BTC,비트코인,CRYPTO,15m,S03_GoldenCross,19,47.4,1.681,0.0885,1.492,-1.605,0.1305,1.681
BTC,비트코인,CRYPTO,15m,S04_SuperTrend,20,30.0,-1.963,-0.0982,0.602,-3.052,-0.1713,-1.963
BTC,비트코인,CRYPTO,15m,S05_HullMA,191,48.7,2.586,0.0135,1.06,-6.48,0.0205,2.586
BTC,비트코인,CRYPTO,15m,S06_Ichimoku,163,29.4,-4.131,-0.0253,0.872,-9.285,-0.0402,-4.131
